STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q2,,88.56,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q3,,90.61,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q4,,89.77,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q1,,90.11,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q2,,90.83,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q3,,92.80,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q4,,92.65,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2011-Q1,,93.51,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2011-Q2,,94.16,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2011-Q3,,96.05,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2011-Q4,,95.79,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2012-Q1,,96.51,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2012-Q2,,96.72,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2012-Q3,,97.77,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2012-Q4,,97.43,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2013-Q1,,97.87,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2013-Q2,,98.34,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2013-Q3,,99.46,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2013-Q4,,98.53,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2014-Q1,,97.43,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2014-Q2,,97.42,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2014-Q3,,98.81,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2014-Q4,,99.20,,,,,
